"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Oct 19 16:52:04 GMT 2025","Sun Oct 19 16:52:22 GMT 2025","17587","Desktop chromium","security.spec.js","Test Suite - Security & Injection Handling","","","Validate AI does not follow malicious prompt to ignore instructions",""
"passed","Sun Oct 19 16:49:23 GMT 2025","Sun Oct 19 16:49:35 GMT 2025","12058","Desktop chromium","chatbot.spec.js","Test Suite - Chatbot UI Behavior","","","Validate chat widget loads on desktop and mobile",""
"passed","Sun Oct 19 16:49:35 GMT 2025","Sun Oct 19 16:49:59 GMT 2025","23562","Desktop chromium","chatbot.spec.js","Test Suite - Chatbot UI Behavior","","","Validate whether AI responses are rendered properly and no broken html displayed",""
"passed","Sun Oct 19 16:50:45 GMT 2025","Sun Oct 19 16:52:04 GMT 2025","79332","Desktop chromium","gpt-response.spec.js","Test Suite - GPT-Powered Response Validation","","","Validate whether the AI responses are not hallucinated and not incomplete thoughts",""
"passed","Sun Oct 19 16:49:59 GMT 2025","Sun Oct 19 16:50:39 GMT 2025","40694","Desktop chromium","chatbot.spec.js","Test Suite - Chatbot UI Behavior","","","Validate multilingual support for English LTR",""
"passed","Sun Oct 19 16:52:04 GMT 2025","Sun Oct 19 16:52:22 GMT 2025","18152","Desktop chromium","security.spec.js","Test Suite - Security & Injection Handling","","","Validate chat input sanitization for script tags",""
"passed","Sun Oct 19 16:51:45 GMT 2025","Sun Oct 19 16:51:55 GMT 2025","10695","Desktop chromium","login.spec.js","Test Suite - Login tests","","","Login with Email — Successful Login with valid credentials",""
"passed","Sun Oct 19 16:49:23 GMT 2025","Sun Oct 19 16:49:41 GMT 2025","17898","Desktop chromium","chatbot.spec.js","Test Suite - Chatbot UI Behavior","","","Validate user can send messages via input box and input is cleared",""
"passed","Sun Oct 19 16:50:10 GMT 2025","Sun Oct 19 16:50:45 GMT 2025","34964","Desktop chromium","chatbot.spec.js","Test Suite - Chatbot UI Behavior","","","Validate multilingual support for Arabic RTL",""
"passed","Sun Oct 19 16:50:40 GMT 2025","Sun Oct 19 16:51:30 GMT 2025","50757","Desktop chromium","gpt-response.spec.js","Test Suite - GPT-Powered Response Validation","","","Validate AI provides clear and helpful responses and consistent between English and Arabic",""
"passed","Sun Oct 19 16:49:41 GMT 2025","Sun Oct 19 16:50:10 GMT 2025","28992","Desktop chromium","chatbot.spec.js","Test Suite - Chatbot UI Behavior","","","Validate the page scroll and accessibility",""
"passed","Sun Oct 19 16:51:55 GMT 2025","Sun Oct 19 16:52:04 GMT 2025","8799","Desktop chromium","login.spec.js","Test Suite - Login tests","","","Login with Email — Error thrown for wrong password",""
"passed","Sun Oct 19 16:51:30 GMT 2025","Sun Oct 19 16:51:45 GMT 2025","14265","Desktop chromium","gpt-response.spec.js","Test Suite - GPT-Powered Response Validation","","","Validate loading states and fallback messages are displayed",""
